strain/-,stress/MPa,stress/Pa
0.0,839646000000.0,839646000.0
0.0002,866565333333.3334,866565333.3333334
0.0004,893500000000.0,893500000.0
0.0006,910835000000.0,910835000.0
0.0008,918555000000.0,918555000.0
0.001,926275000000.0,926275000.0
0.002,926275000000.0,926275000.0
0.003,939393000000.0,939393000.0
0.004,949756000000.0,949756000.0
0.005,958495000000.0,958495000.0
0.006,966134000000.0,966134000.0
0.007,972960000000.0,972960000.0
0.008,979150000000.0,979150000.0
0.009,984823000000.0,984823000.0
0.01,990061000000.0,990061000.0
0.02,1027470000000.0,1027470000.0
0.03,1049750000000.0,1049750000.0
0.04,1064310000000.0,1064310000.0
0.05,1074410000000.0,1074410000.0
0.06,1081810000000.0,1081810000.0
0.07,1087490000000.0,1087490000.0
0.08,1092060000000.0,1092060000.0
0.09,1095870000000.0,1095870000.0
0.1,1099140000000.0,1099140000.0
0.125,1105160000000.0,1105160000.0
0.15,1111180000000.0,1111180000.0
0.175,1115405000000.0,1115405000.0
0.2,1119630000000.0,1119630000.0
0.225,1122940000000.0,1122940000.0
0.25,1126250000000.0,1126250000.0
0.275,1128985000000.0,1128985000.0
0.3,1131720000000.0,1131720000.0
0.325,1134050000000.0,1134050000.0
0.35,1136380000000.0,1136380000.0
0.375,1138410000000.0,1138410000.0
0.4,1140440000000.0,1140440000.0
0.425,1142245000000.0,1142245000.0
0.45,1144050000000.0,1144050000.0
0.475,1145675000000.0,1145675000.0
0.5,1147300000000.0,1147300000.0
0.525,1148775000000.0,1148775000.0
0.55,1150250000000.0,1150250000.0
0.575,1151605000000.0,1151605000.0
0.6,1152960000000.0,1152960000.0
0.625,1154210000000.0,1154210000.0
0.65,1155460000000.0,1155460000.0
0.675,1156625000000.0,1156625000.0
0.7,1157790000000.0,1157790000.0
0.725,1158875000000.0,1158875000.0
0.75,1159960000000.0,1159960000.0
0.775,1160980000000.0,1160980000.0
0.8,1162000000000.0,1162000000.0
0.825,1162960000000.0,1162960000.0
0.85,1163920000000.0,1163920000.0
0.875,1164830000000.0,1164830000.0
0.9,1165740000000.0,1165740000.0
0.925,1166600000000.0,1166600000.0
0.95,1167460000000.0,1167460000.0
0.975,1168285000000.0,1168285000.0
1.0,1169110000000.0,1169110000.0
1.05,1170670000000.0,1170670000.0
1.1,1172160000000.0,1172160000.0
1.15,1173600000000.0,1173600000.0
1.2,1174970000000.0,1174970000.0
1.25,1176290000000.0,1176290000.0
1.3,1177560000000.0,1177560000.0
1.35,1178790000000.0,1178790000.0
1.4,1179970000000.0,1179970000.0
1.45,1181120000000.0,1181120000.0
1.5,1182220000000.0,1182220000.0
1.55,1183300000000.0,1183300000.0
1.6,1184340000000.0,1184340000.0
1.65,1185350000000.0,1185350000.0
1.7,1186330000000.0,1186330000.0
1.75,1187280000000.0,1187280000.0
1.8,1188210000000.0,1188210000.0
1.85,1189120000000.0,1189120000.0
1.9,1190000000000.0,1190000000.0
1.95,1190860000000.0,1190860000.0
2.0,1191700000000.0,1191700000.0
2.05,1192520000000.0,1192520000.0
2.1,1193320000000.0,1193320000.0
2.15,1194100000000.0,1194100000.0
2.2,1194870000000.0,1194870000.0
2.25,1195620000000.0,1195620000.0
2.3,1196350000000.0,1196350000.0
2.35,1197070000000.0,1197070000.0
2.4,1197770000000.0,1197770000.0
2.45,1198470000000.0,1198470000.0
2.5,1199140000000.0,1199140000.0
2.55,1199810000000.0,1199810000.0
2.6,1200460000000.0,1200460000.0
2.65,1201100000000.0,1201100000.0
2.7,1201730000000.0,1201730000.0
2.75,1202350000000.0,1202350000.0
2.8,1202960000000.0,1202960000.0
2.85,1203550000000.0,1203550000.0
2.9,1204140000000.0,1204140000.0
2.95,1204720000000.0,1204720000.0
3.0,1205290000000.0,1205290000.0
